1-комн. квартира, 31 м², 4/5 этаж;1;31;4/5;Республика Татарстан;Казань;р-н Кировский;;м. Яшьлек;5 250 000 ;300158703;2
1-комн. квартира, 26,07 м², 2/20 этаж;1;26,07;2/20;Республика Татарстан;Казань;р-н Приволжский;мкр. Теплоконтроль;м. Аметьево;6 500 000 ;298464678;2
1-комн. квартира, 39,3 м², 7/10 этаж;1;39,3;7/10;Республика Татарстан;Казань;р-н Советский;мкр. Куба;;11 083 000 ;297233444;2
1-комн. квартира, 45 м², 9/10 этаж;1;45;9/10;Республика Татарстан;Казань;р-н Советский;мкр. Азино-2;м. Проспект Победы;7 649 999 ;290811425;2
1-комн. квартира, 39,98 м², 2/19 этаж;1;39,98;2/19;Республика Татарстан;Казань;р-н Советский;;м. Суконная слобода;11 000 000 ;298247025;3
1-комн. квартира, 37 м², 6/10 этаж;1;37;6/10;Республика Татарстан;Казань;р-н Советский;м. Горки;;8 800 000 ;298247025;3
1-комн. квартира, 33,97 м², 6/10 этаж;1;33,97;6/10;Республика Татарстан;Казань;р-н Советский;м. Горки;Лето ЖК;8 416 000 ;296806005;3
1-комн. квартира, 35,36 м², 2/10 этаж;1;35,36;2/10;Республика Татарстан;Казань;р-н Советский;м. Горки;;7 474 000 ;273878493;3
1-комн. квартира, 48 м², 11/16 этаж;1;48;11/16;Республика Татарстан;Казань;р-н Вахитовский;мкр. Калуга;м. Суконная слобода;11 995 000 ;292305820;3
1-комн. квартира, 36,09 м², 21/22 этаж;1;36,09;21/22;Республика Татарстан;Казань;р-н Советский;м. Горки;Мой Ритм ЖК;8 733 780 ;267044363;3
1-комн. квартира, 52 м², 12/16 этаж;1;52;12/16;Республика Татарстан;Казань;р-н Вахитовский;мкр. Калуга;м. Суконная слобода;16 550 000 ;300308437;3
1-комн. квартира, 46,89 м², 4/9 этаж;1;46,89;4/9;Республика Татарстан;Казань;р-н Приволжский;мкр. Теплоконтроль;м. Аметьево;9 326 421 ;300308437;3
1-комн. квартира, 35,38 м², 4/5 этаж;1;35,38;4/5;Республика Татарстан;Казань;р-н Вахитовский;;м. Кремлёвская;14 505 800 ;296828423;3
1-комн. квартира, 31,7 м², 1/5 этаж;1;31,7;1/5;Республика Татарстан;Казань;р-н Кировский;;м. Яшьлек;5 580 000 ;299740734;3
1-комн. квартира, 54,15 м², 6/8 этаж;1;54,15;6/8;Республика Татарстан;Казань;р-н Кировский;;м. Козья слобода;12 616 148 ;299201731;3
1-комн. квартира, 34,83 м², 5/19 этаж;1;34,83;5/19;Республика Татарстан;Казань;р-н Приволжский;мкр. Горки-3;м. Дубравная;7 500 000 ;298270450;3
1-комн. квартира, 38,05 м², 8/17 этаж;1;38,05;8/17;Республика Татарстан;Казань;р-н Советский;м. Горки;Мой Ритм ЖК;8 979 800 ;296559768;3
1-комн. квартира, 43 м², 2/10 этаж;1;43;2/10;Республика Татарстан;Казань;р-н Советский;мкр. Куба;м. Суконная слобода;9 500 000 ;301019320;3
1-комн. квартира, 37,31 м², 8/20 этаж;1;37,31;8/20;Республика Татарстан;Казань;р-н Советский;;м. Суконная слобода;12 685 400 ;296475870;3
1-комн. квартира, 36,38 м², 6/20 этаж;1;36,38;6/20;Республика Татарстан;Казань;р-н Советский;;м. Суконная слобода;12 369 200 ;294229581;3
1-комн. квартира, 38,2 м², 3/18 этаж;1;38,2;3/18;Республика Татарстан;Казань;р-н Приволжский;м. Аметьево;;6 552 000 ;296473068;3
1-комн. квартира, 39 м², 4/19 этаж;1;39;4/19;Республика Татарстан;Казань;р-н Советский;мкр. Куба;м. Суконная слобода;7 600 000 ;300938311;3
1-комн. квартира, 41,6 м², 1/14 этаж;1;41,6;1/14;Республика Татарстан;Казань;р-н Приволжский;м. Проспект Победы;;8 230 000 ;298694889;3
1-комн. квартира, 32,97 м², 17/17 этаж;1;32,97;17/17;Республика Татарстан;Казань;р-н Советский;м. Горки;;8 967 840 ;292327404;3
выгодное предложение;1;32,97;17/17;Республика Татарстан;Казань;р-н Советский;мкр. Дальний;м. Горки;7 800 000 ;301018804;3
1-комн. квартира, 38,52 м², 2/5 этаж;1;38,52;2/5;Республика Татарстан;Казань;р-н Вахитовский;;м. Кремлёвская;14 637 600 ;295768289;3
1-комн. квартира, 29,1 м², 8/9 этаж;1;29,1;8/9;Республика Татарстан;Казань;р-н Авиастроительный;мкр. Свердлова;м. Авиастроительная;4 800 000 ;299740677;3
1-комн. квартира, 37,4 м², 13/18 этаж;1;37,4;13/18;Республика Татарстан;Казань;р-н Приволжский;м. Аметьево;;6 583 000 ;300938314;4
1-комн. квартира, 20 м², 1/10 этаж;1;20;1/10;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Козья слобода;улица Четаева;4 300 000 ;300938314;4
1-комн. квартира, 40,1 м², 14/14 этаж;1;40,1;14/14;Республика Татарстан;Казань;р-н Приволжский;м. Проспект Победы;;8 018 000 ;272707818;4
1-комн. квартира, 40,61 м², 14/16 этаж;1;40,61;14/16;Республика Татарстан;Казань;р-н Советский;м. Горки;;9 563 402 ;292338053;4
1-комн. квартира, 34 м², 6/9 этаж;1;34;6/9;Республика Татарстан;Казань;р-н Ново-Савиновский;;м. Козья слобода;6 800 000 ;291876158;4
